TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
lottery_campaign_prizes	fk_campaign_prizes_definition	FOREIGN KEY	prize_definition_id	prize_definitions	prize_definition_id
lottery_campaign_prizes	PRIMARY	PRIMARY KEY	lottery_campaign_prize_id	NULL	NULL
lottery_campaign_prizes	uk_campaign_prize	UNIQUE	lottery_campaign_id	NULL	NULL
lottery_campaign_prizes	uk_campaign_prize	UNIQUE	prize_definition_id	NULL	NULL
lottery_campaign_quota_grants	PRIMARY	PRIMARY KEY	lottery_campaign_quota_grant_id	NULL	NULL
lottery_campaign_user_quota	fk_user_quota_campaign_id	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_campaign_user_quota	fk_user_quota_user_id	FOREIGN KEY	user_id	users	user_id
lottery_campaign_user_quota	PRIMARY	PRIMARY KEY	lottery_campaign_user_quota_id	NULL	NULL
lottery_campaign_user_quota	uk_user_campaign_quota	UNIQUE	user_id	NULL	NULL
lottery_campaign_user_quota	uk_user_campaign_quota	UNIQUE	lottery_campaign_id	NULL	NULL
lottery_campaigns	campaign_code	UNIQUE	campaign_code	NULL	NULL
lottery_campaigns	PRIMARY	PRIMARY KEY	lottery_campaign_id	NULL	NULL
lottery_daily_metrics	fk_daily_metrics_campaign_id	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_daily_metrics	PRIMARY	PRIMARY KEY	lottery_daily_metric_id	NULL	NULL
lottery_daily_metrics	uk_daily_campaign_date	UNIQUE	lottery_campaign_id	NULL	NULL
lottery_daily_metrics	uk_daily_campaign_date	UNIQUE	metric_date	NULL	NULL
lottery_draw_decisions	PRIMARY	PRIMARY KEY	lottery_draw_decision_id	NULL	NULL
lottery_draw_decisions	uk_decisions_draw_id	UNIQUE	lottery_draw_id	NULL	NULL
lottery_draw_quota_rules	PRIMARY	PRIMARY KEY	lottery_draw_quota_rule_id	NULL	NULL
lottery_draws	draw_seq	UNIQUE	draw_seq	NULL	NULL
lottery_draws	fk_lottery_draws_campaign_prize	FOREIGN KEY	lottery_campaign_prize_id	lottery_campaign_prizes	lottery_campaign_prize_id
lottery_draws	fk_lottery_draws_user_id	FOREIGN KEY	user_id	users	user_id
lottery_draws	fk_lottery_records_campaign	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_draws	PRIMARY	PRIMARY KEY	lottery_draw_id	NULL	NULL
lottery_draws	uk_lottery_draws_business_id	UNIQUE	business_id	NULL	NULL
lottery_draws	uk_lottery_draws_idempotency_key	UNIQUE	idempotency_key	NULL	NULL
lottery_draws	uk_lottery_draws_order_no	UNIQUE	order_no	NULL	NULL
lottery_hourly_metrics	fk_hourly_metrics_campaign_id	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
